Year,Emirate En,Emirate Ar,Geo Coordinates,Nationality Group En,Nationality Group Ar,Gender En,Gender Ar,Total
2015,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Male,ذكر,1492
2015,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Female,انثي,19
2015,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Male,ذكر,50
2015,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Female,انثي,95
2015,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Male,ذكر,295
2015,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Female,انثي,247
2015,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Male,ذكر,344
2015,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Female,انثي,476
2015,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Male,ذكر,1487
2015,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Female,انثي,60
2015,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Male,ذكر,98
2015,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Female,انثي,25
2015,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Male,ذكر,96
2015,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Female,انثي,107
2015,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Male,ذكر,167
2015,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Female,انثي,67
2015,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Male,ذكر,212
2015,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Female,انثي,165
2015,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Male,ذكر,224
2015,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Female,انثي,285
2015,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Male,ذكر,950
2015,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Female,انثي,25
2015,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Male,ذكر,26
2015,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Female,انثي,14
2015,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Male,ذكر,58
2016,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Female,انثي,437
2016,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Male,ذكر,683
